,Aircraft,Type of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Date of Post,Overall Rating (/10)
981,Embraer 190,Business,Economy Class,August 2019,1,4,,4,1,3,2,No,26th August 2019,3
982,,Solo Leisure,Economy Class,August 2019,2,2,,2,2,,2,No,25th August 2019,2
983,,Family Leisure,Economy Class,August 2019,3,3,2,3,1,,3,No,25th August 2019,4
984,Boeing 777-300,Family Leisure,Economy Class,July 2019,4,4,4,4,4,4,4,Yes,25th August 2019,10
985,A320 / Boeing 767,Family Leisure,Economy Class,August 2019,1,4,1,1,1,3,1,No,24th August 2019,1
986,boeing 777-300,Solo Leisure,Business Class,August 2019,1,3,2,4,2,,1,No,24th August 2019,2
987,,Solo Leisure,Economy Class,July 2019,2,3,1,2,2,,1,No,24th August 2019,3
988,,Solo Leisure,Economy Class,August 2019,1,1,2,3,1,,1,No,22nd August 2019,1
989,,Solo Leisure,First Class,August 2019,3,3,3,3,3,,1,No,21st August 2019,2
990,Boeing 777-300ER,Family Leisure,Business Class,August 2019,4,3,5,4,3,,3,Yes,20th August 2019,7
991,,Solo Leisure,Economy Class,August 2019,2,2,,3,1,,2,No,16th August 2019,1
992,A330,Solo Leisure,Economy Class,August 2019,1,2,,,2,,1,No,15th August 2019,1
993,,Solo Leisure,Economy Class,August 2019,2,2,,,1,,2,No,14th August 2019,2
994,Boeing 787-9,Solo Leisure,Economy Class,August 2019,1,3,2,2,3,,2,No,14th August 2019,1
995,,Solo Leisure,Economy Class,August 2019,4,3,,4,1,,1,No,12th August 2019,1
996,Boeing 787,Family Leisure,Premium Economy,August 2019,3,2,1,3,2,,3,No,10th August 2019,4
997,Boeing 777-300ER,Couple Leisure,Business Class,July 2019,5,3,4,5,4,,5,Yes,8th August 2019,7
998,,Solo Leisure,Economy Class,July 2019,3,3,2,,1,,1,No,4th August 2019,1
999,,Solo Leisure,Economy Class,August 2019,3,3,,,2,,1,No,4th August 2019,2
